asn1,asn2,rel_x,asn1RIR,asn2RIR,rel_y
81,17314,p2p,ARIN,ARIN,p2c
174,1273,p2c,ARIN,ARIN,p2p
174,2686,p2p,ARIN,ARIN,p2c
174,4134,p2c,ARIN,ARIN,p2p
174,4837,p2p,ARIN,APNIC,p2c
174,5400,p2c,ARIN,RIPE,p2p
174,6128,p2p,ARIN,ARIN,p2c
174,6774,p2p,ARIN,RIPE,p2c
174,7065,p2c,ARIN,ARIN,p2p
174,8001,p2c,ARIN,ARIN,p2p
174,8495,p2p,ARIN,RIPE,p2c
174,9044,p2c,ARIN,RIPE,p2p
174,9924,p2c,ARIN,APNIC,p2p
174,11878,p2c,ARIN,ARIN,p2p
174,12578,p2c,ARIN,RIPE,p2p
174,12658,p2c,ARIN,RIPE,p2p
174,12731,p2c,ARIN,RIPE,p2p
174,13354,p2c,ARIN,ARIN,p2p
174,13370,p2p,ARIN,ARIN,p2c
174,14061,p2c,ARIN,ARIN,p2p
174,15133,p2c,ARIN,ARIN,p2p
174,15945,p2p,ARIN,RIPE,p2c
174,16265,p2p,ARIN,RIPE,p2c
174,20565,p2c,ARIN,RIPE,p2p
174,20810,p2c,ARIN,RIPE,p2p
174,22652,p2p,ARIN,ARIN,p2c
174,25180,p2c,ARIN,RIPE,p2p
174,25394,p2c,ARIN,RIPE,p2p
174,26956,p2c,ARIN,ARIN,p2p
174,27345,p2c,ARIN,ARIN,p2p
174,28716,p2c,ARIN,RIPE,p2p
174,29140,p2c,ARIN,RIPE,p2p
174,30972,p2p,ARIN,RIPE,p2c
174,33164,p2p,ARIN,ARIN,p2c
174,38195,p2p,ARIN,APNIC,p2c
174,39704,p2c,ARIN,RIPE,p2p
174,41000,p2c,ARIN,RIPE,p2p
174,43338,p2c,ARIN,RIPE,p2p
174,43350,p2c,ARIN,RIPE,p2p
174,44217,p2p,ARIN,RIPE,p2c
174,48918,p2c,ARIN,RIPE,p2p
174,50673,p2p,ARIN,RIPE,p2c
174,51184,p2c,ARIN,RIPE,p2p
174,51863,p2p,ARIN,RIPE,p2c
174,51906,p2c,ARIN,RIPE,p2p
174,53264,p2p,ARIN,ARIN,p2c
174,60876,p2p,ARIN,RIPE,p2c
174,62240,p2c,ARIN,RIPE,p2p
174,62563,p2c,ARIN,ARIN,p2p
174,133613,p2c,ARIN,APNIC,p2p
174,196755,p2c,ARIN,RIPE ,p2p
174,203698,p2c,ARIN,RIPE ,p2p
209,7393,p2c,ARIN,ARIN,p2p
271,33314,p2c,ARIN,ARIN,p2p
286,14061,p2c,ARIN,ARIN,p2p
286,14340,p2p,ARIN,ARIN,p2c
286,20940,p2c,ARIN,RIPE,p2p
286,29140,p2p,ARIN,RIPE,p2c
