asn1,asn2,asn1RIR,asn2RIR,rel
1,28618,ARIN,LACNIC,p2p
2,21954,ARIN,ARIN,p2p
2,29447,ARIN,RIPE,p2c
2,59445,ARIN,RIPE,p2p
2,133967,ARIN,APNIC,p2p
2,267222,ARIN,LACNIC,p2p
2,267463,ARIN,LACNIC,p2c
3,41127,ARIN,RIPE,p2p
4,7633,ARIN,APNIC,p2c
4,21944,ARIN,ARIN,p2p
4,393622,ARIN,ARIN,p2c
5,21710,ARIN,ARIN,p2c
5,270364,ARIN,LACNIC,p2p
5,270583,ARIN,LACNIC,p2p
9,35104,ARIN,RIPE,p2p
42,513,ARIN,ARIN,p2p
42,1239,ARIN,ARIN,p2p
42,1836,ARIN,ARIN,p2p
42,2119,ARIN,RIPE,p2p
42,3170,ARIN,RIPE,p2p
42,5396,ARIN,RIPE,p2p
42,9145,ARIN,RIPE,p2p
42,9505,ARIN,APNIC,p2p
42,11404,ARIN,ARIN,p2p
42,14315,ARIN,ARIN,p2p
42,15576,ARIN,RIPE,p2p
42,20912,ARIN,RIPE,p2p
42,21575,ARIN,ARIN,p2p
42,30844,ARIN,RIPE,p2p
42,31500,ARIN,RIPE,p2p
42,35710,ARIN,RIPE,p2p
42,38136,ARIN,APNIC,p2p
42,38195,ARIN,APNIC,p2p
42,39737,ARIN,RIPE,p2p
42,40934,ARIN,ARIN,p2p
42,41047,ARIN,RIPE,p2p
42,44684,ARIN,RIPE,p2p
42,46997,ARIN,ARIN,p2p
42,47251,ARIN,RIPE,p2p
42,47787,ARIN,RIPE,p2p
42,47957,ARIN,RIPE,p2p
42,48292,ARIN,RIPE,p2p
42,49432,ARIN,RIPE,p2p
42,49605,ARIN,RIPE,p2p
42,49709,ARIN,RIPE,p2p
42,49752,ARIN,RIPE,p2p
42,50236,ARIN,RIPE,p2p
42,51999,ARIN,RIPE,p2p
42,54574,ARIN,ARIN,p2p
42,55176,ARIN,ARIN,p2p
42,58115,ARIN,RIPE,p2p
42,58453,ARIN,APNIC,p2p
42,59890,ARIN,RIPE,p2p
42,61438,ARIN,RIPE,p2p
42,62513,ARIN,ARIN,p2p
42,64116,ARIN,LACNIC,p2p
42,132337,ARIN,APNIC,p2p
42,136557,ARIN,APNIC,p2p
42,137409,ARIN,APNIC,p2p
42,137490,ARIN,APNIC,p2p
42,139589,ARIN,APNIC,p2p
42,201054,ARIN,RIPE,p2p
42,204355,ARIN,RIPE,p2p
42,207740,ARIN,RIPE,p2p
42,209102,ARIN,RIPE,p2p
42,211954,ARIN,RIPE,p2p
42,262662,ARIN,LACNIC,p2p
42,328832,ARIN,AFRINIC,p2p
42,398465,ARIN,ARIN,p2p
57,33189,ARIN,ARIN,p2c
62,13830,ARIN,ARIN,p2p
62,25765,ARIN,ARIN,p2c
62,31966,ARIN,ARIN,p2c
62,399110,ARIN,ARIN,p2c
71,17062,ARIN,ARIN,p2c
72,20562,ARIN,RIPE,p2p
77,5723,ARIN,ARIN,p2p
81,399050,ARIN,ARIN,p2c
100,200,ARIN,ARIN,p2c
101,7713,ARIN,APNIC,p2p
101,38136,ARIN,APNIC,p2p
112,2906,ARIN,ARIN,p2p
112,3280,ARIN,RIPE,p2p
112,5602,ARIN,RIPE,p2p
112,8926,ARIN,RIPE,p2p
112,13237,ARIN,RIPE,p2p
112,13335,ARIN,ARIN,p2p
112,17920,ARIN,APNIC,p2p
112,28748,ARIN,RIPE,p2p
112,29319,ARIN,RIPE,p2p
112,31287,ARIN,RIPE,p2p
112,38008,ARIN,APNIC,p2p
112,38880,ARIN,APNIC,p2p
112,39337,ARIN,RIPE,p2p
112,44391,ARIN,RIPE,p2p
112,47692,ARIN,RIPE,p2p
112,48366,ARIN,RIPE,p2p
112,49368,ARIN,RIPE,p2p
112,50115,ARIN,RIPE,p2p
112,50236,ARIN,RIPE,p2p
112,50646,ARIN,RIPE,p2p
112,51184,ARIN,RIPE,p2p
112,51408,ARIN,RIPE,p2p
112,56634,ARIN,RIPE,p2p
112,57111,ARIN,RIPE,p2p
112,59890,ARIN,RIPE,p2p
112,59947,ARIN,RIPE,p2p
112,60283,ARIN,RIPE,p2p
112,61280,ARIN,RIPE,p2p
112,62146,ARIN,RIPE,p2p
112,137409,ARIN,APNIC,p2p
112,197969,ARIN,RIPE,p2p
112,201333,ARIN,RIPE,p2p
112,201706,ARIN,RIPE,p2p
112,202838,ARIN,RIPE,p2p
112,206846,ARIN,RIPE,p2p
112,207740,ARIN,RIPE,p2p
